SimulationName    Date    Water    Nitrogen    final    Leaf.LAI    laierror
()    ()    ()    ()    ()    ()    ()
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    2013-12-18    Full    0    0    2.57    0.42
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    2014-01-17    Full    0    0    2.86    0.64
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    2014-02-18    Full    0    0    3.03    1.72
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    2014-03-14    Full    0    0    1.8    0.09
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    2014-04-14    Full    0    0    2.53    0.57
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    2014-05-20    Full    0    1    1.89    0.56
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    2013-12-18    Full    75    0    2.17    0.42
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    2014-01-17    Full    75    0    2.15    0.02
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    2014-02-18    Full    75    0    2.6    0.26
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    2014-03-14    Full    75    0    2.42    0.58
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    2014-04-14    Full    75    0    3.45    0.6
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    2014-05-20    Full    75    1    2.18    0.09
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    2013-12-18    Full    150    0    2.88    0.91
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    2014-01-17    Full    150    0    2.98    0.27
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    2014-02-18    Full    150    0    4.66    2.83
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    2014-03-14    Full    150    0    4.34    1.02
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    2014-04-14    Full    150    0    3.78    0.8
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    2014-05-20    Full    150    1    3.43    0.49
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    2013-12-18    Full    300    0    3.04    0.62
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    2014-01-17    Full    300    0    4.21    0.82
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    2014-02-18    Full    300    0    5.35    0.89
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    2014-03-14    Full    300    0    5.77    0.2
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    2014-04-14    Full    300    0    5.26    1.12
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    2014-05-20    Full    300    1    4.53    0.33
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    2013-12-18    Nil    0    0    1.16    0.14
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    2014-01-17    Nil    0    0    0.68    0.08
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    2014-02-18    Nil    0    0    0.56    0.35
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    2014-03-14    Nil    0    0    1.67    0.44
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    2014-04-14    Nil    0    0    2.34    0.29
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_0    2014-05-20    Nil    0    1    1.8    0.42
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    2013-12-18    Nil    75    0    0.96    0.26
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    2014-01-17    Nil    75    0    0.61    0.06
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    2014-02-18    Nil    75    0    0.54    0.05
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    2014-03-14    Nil    75    0    3.07    0.16
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    2014-04-14    Nil    75    0    3.55    0.06
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    2014-05-20    Nil    75    1    1.93    0.19
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    2013-12-18    Nil    150    0    1.23    0.68
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    2014-01-17    Nil    150    0    0.53    0.13
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    2014-02-18    Nil    150    0    0.46    0.25
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    2014-03-14    Nil    150    0    3.31    0.19
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    2014-04-14    Nil    150    0    4.58    0.92
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    2014-05-20    Nil    150    1    4.37    0.96
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    2013-12-18    Nil    300    0    1.79    0.05
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    2014-01-17    Nil    300    0    0.84    0.02
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    2014-02-18    Nil    300    0    0.8    0.26
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    2014-03-14    Nil    300    0    3.62    0.86
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    2014-04-14    Nil    300    0    5.19    1.62
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    2014-05-20    Nil    300    1    3.99    0.64
