SimulationName                                   Nitrogen    final    Clock.Today    AboveGroundLive.Wt   AboveGroundLive.Wterror    leaf.Live.Wt    leaf.Live.Wtleaferror    Stem.Live.Wt    stemerror    lai    laierror    interc    intercerror    AboveGroundLive.N   AboveGroundLive.Nerror    Leaf.Live.N    Leaf.Live.Nerror   Stem.Live.N    Stem.Live.Nerror    Leaf.Live.NConc    Stem.Live.NConc
()                                               ()    ()    ()    (g/m2)    (g/m2)    (g/m2)    (g/m2)    (g/m2)    (g/m2)    ()    ()    ()    ()    ()    ()    (g/m2)    (g/m2)    (g/m2)    (g/m2)    ()    ()
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    0    0    2013-12-18    326.28    18.36    147.21    17.08    169.85    6.98    2    0.32    0.86    *    6.34    0.58    4.04    0.72    2.2    0.15    2.73    1.3
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    0    0    2014-01-17    834.26    82.07    286.6    27.34    530.58    60.94    1.95    1    0.82    *    7.93    1.83    4.28    1.38    3.6    0.51    1.47    0.68
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    0    0    2014-02-18    1008.92    409.45    278.88    102.28    711.94    311.39    3.44    3.86    0.86    *    9.8    3.64    5.1    2.05    4.63    1.6    1.81    0.68
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    0    0    2014-03-14    925.42    84.69    202.84    22.32    686.81    64.83    3.46    1.59    0.86    *    8.03    0.48    3.27    0.38    4.27    0.51    1.61    0.62
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    0    0    2014-04-14    1165.12    445.09    200.45    44.35    935.24    375.55    3.96    1.84    0.87    *    10.41    3.49    4    0.93    6.27    2.46    2    0.68
Ashley_Dean_2013_Irrigation_Full_Fertiliser_0    0    1    2014-05-20    1008.22    427.55    146.89    46.78    849.2    370.49    2.69    1.15    0.86    *    10.98    3.86    4.06    1.08    6.83    2.72    2.8    0.81
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    75    0    2013-12-18    283.35    72.24    127.97    21.58    141.94    47.57    1.76    0.83    0.86    *    5.73    1.77    3.79    1.05    1.8    0.71    2.93    1.26
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    75    0    2014-01-17    633.09    72.39    212.58    11.16    406.09    58.43    2    2.47    0.9    *    6.62    0.9    3.69    0.56    2.85    0.53    1.75    0.7
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    75    0    2014-02-18    1284.59    166.02    300.53    69.14    969.36    117.7    2.44    3.38    0.94    *    13.43    2.43    6.45    1.39    6.87    1.1    2.17    0.71
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    75    0    2014-03-14    1293.09    404.98    251.58    24.58    1013.56    365.58    3.65    2.01    0.93    *    11.77    2.92    4.79    0.82    6.81    2.06    1.9    0.68
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    75    0    2014-04-14    1388.34    314.88    263.93    45.36    1103.15    244.88    4.16    1.94    0.93    *    14.28    2.72    5.95    0.85    8.21    1.91    2.26    0.75
Ashley_Dean_2013_Irrigation_Full_Fertiliser_75    75    1    2014-05-20    1088.32    426.85    142.46    27.98    924.36    389.97    2.82    1.79    0.92    *    13.36    4.35    4.42    0.98    8.76    3.36    3.09    0.96
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    150    0    2013-12-18    331.67    124.41    159.12    60.54    162.54    53.42    1.92    1.07    0.84    *    8.03    3.54    5.28    2.23    2.65    1.19    3.33    1.62
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    150    0    2014-01-17    734.98    111.63    255.17    42.22    473.19    75.33    2.03    1.59    0.94    *    11.48    1.57    5.66    0.76    5.76    1.41    2.24    1.21
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    150    0    2014-02-18    1382.13    96.24    346.34    28.5    1023.46    104.47    1.89    1.45    0.9    *    17.76    1.29    8.79    0.63    8.9    0.67    2.55    0.88
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    150    0    2014-03-14    1777.6    334.53    401.97    86.21    1340.33    254.42    2.52    0.89    0.91    *    17.62    0.71    8.31    0.96    9.05    1.23    2.13    0.68
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    150    0    2014-04-14    1938.71    549.93    297.32    68.45    1615.7    495.92    3.96    1.3    0.9    *    17.36    2.62    6.68    1.37    10.41    1.66    2.26    0.66
Ashley_Dean_2013_Irrigation_Full_Fertiliser_150    150    1    2014-05-20    1589.72    1025.83    261.39    41.47    1308.85    1026    3.16    2.02    0.9    *    18.94    6.67    7.99    2.05    10.77    8.27    3.07    0.88
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    300    0    2013-12-18    321.74    81.82    158.73    34.28    154.99    48.9    1.87    1.11    0.85    *    10.4    3.35    6.61    1.71    3.63    1.82    4.14    2.28
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    300    0    2014-01-17    970.39    264.03    318.18    83.69    641.95    200.87    1.46    1.31    0.96    *    20.48    0.62    10.16    1.51    10.13    1.89    3.31    1.69
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    300    0    2014-02-18    1625.78    86.58    445.21    35.81    1167.59    92.56    1.28    1.16    0.93    *    29.25    6.98    13.09    3.63    16    3.58    2.98    1.36
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    300    0    2014-03-14    1833.57    131.01    403.93    8.92    1406.7    134.4    2.98    0.22    0.93    *    33.12    2.69    13.43    1.14    19.35    2.01    3.32    1.39
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    300    0    2014-04-14    2189.93    377.82    372.86    42.9    1771.68    333.97    3.4    0.17    0.93    *    32.92    11.32    11.47    2.36    21    8.89    3.06    1.15
Ashley_Dean_2013_Irrigation_Full_Fertiliser_300    300    1    2014-05-20    2581.48    829.23    292.33    80.98    2271.46    755.93    3.17    0.97    0.92    *    37.44    9.51    10.68    2.76    26.55    7.33    3.67    1.18
