SimulationName                      Experiment              Date            Final_harvest                   TopsGreenWt      LeafGreenWt   StemGreenWt   TopsGreenN            LeafGreenN     StemGreenN         LAI        LeafGreenNconc StemGreenNconc
()                         ()                      ()              ()                              ()               ()            ()            ()                    ()             ()                 ()         ()           ()
Kale_Sown_9Nov05_Fert_nil            Nitrogen                      2005-12-22                               0           203.22        142.19         61.03                  10.7           7.84               2.86       2.54          5.5      4.65
Kale_Sown_9Nov05_Fert_nil            Nitrogen                      2006-01-11                               0           613.64        273.13        340.51                 20.53          11.17               9.36       3.31         4.08      2.77
Kale_Sown_9Nov05_Fert_nil            Nitrogen                      2006-02-01                               0           929.23        340.13        589.09                 23.47           11.6              11.87       4.33         3.39      1.98
Kale_Sown_9Nov05_Fert_nil            Nitrogen                      2006-02-20                               0          1268.02        394.87        873.15                 25.14          12.93              12.21       5.67         3.28      1.44
Kale_Sown_9Nov05_Fert_nil            Nitrogen                      2006-03-13                               0          1701.78        442.08       1259.69                 28.43          15.04              13.39       5.41         3.38      1.07
Kale_Sown_9Nov05_Fert_nil            Nitrogen                      2006-04-10                               0          2073.44        381.91       1691.53                 26.27           8.56              17.71       4.34         2.27      1.06
Kale_Sown_9Nov05_Fert_nil            Nitrogen                      2006-05-09                               1          2285.21        339.62       1945.59                 25.46           8.18              17.28        5.4          2.4      0.88
Kale_Sown_9Nov05_Fert_50             Nitrogen                      2005-12-22                               0           150.07         110.1         39.98                  7.67           5.83               1.84       1.85         5.26      4.55
Kale_Sown_9Nov05_Fert_50             Nitrogen                      2006-01-11                               0           529.99        235.74        294.24                 16.76           8.86                7.9       3.04         3.74      2.68
Kale_Sown_9Nov05_Fert_50             Nitrogen                      2006-02-01                               0           865.75        325.62        540.13                 21.75          11.22              10.53       3.71         3.41      1.91
Kale_Sown_9Nov05_Fert_50             Nitrogen                      2006-02-20                               0          1244.26        398.14        846.13                 23.52          12.95              10.57       6.11         3.25      1.25
Kale_Sown_9Nov05_Fert_50             Nitrogen                      2006-03-13                               0          1706.84        438.66       1268.19                 27.14           13.8              13.34       5.32         3.15      1.05
Kale_Sown_9Nov05_Fert_50             Nitrogen                      2006-04-10                               0          1884.88         340.3       1544.57                 20.95              8              12.95       4.19         2.36      0.84
Kale_Sown_9Nov05_Fert_50             Nitrogen                      2006-05-09                               1          2187.88        327.74       1860.14                 25.83           7.05              18.78       4.85         2.12      1.01
Kale_Sown_9Nov05_Fert_150            Nitrogen                      2005-12-22                               0           169.26        119.36         49.91                  8.56           6.25               2.31       2.04         5.25      4.65
Kale_Sown_9Nov05_Fert_150            Nitrogen                      2006-01-11                               0            622.1        277.67        344.44                 24.87          13.11              11.76       3.56          4.7      3.46
Kale_Sown_9Nov05_Fert_150            Nitrogen                      2006-02-01                               0           945.24        342.11        603.12                  27.7          12.66              15.04       4.31         3.72      2.53
Kale_Sown_9Nov05_Fert_150            Nitrogen                      2006-02-20                               0          1189.33        377.67        811.66                 26.91          13.19              13.72       5.48         3.48      1.69
Kale_Sown_9Nov05_Fert_150            Nitrogen                      2006-03-13                               0          1657.89        432.39       1225.49                 27.65          13.27              14.38       4.61         3.09      1.24
Kale_Sown_9Nov05_Fert_150            Nitrogen                      2006-04-10                               0          2004.44        361.65       1642.79                 28.76          10.16               18.6       3.88         2.83      1.16
Kale_Sown_9Nov05_Fert_150            Nitrogen                      2006-05-09                               1          2043.37        303.62       1739.75                 29.18            8.2              20.98       4.34         2.71      1.22
Kale_Sown_9Nov05_Fert_250            Nitrogen                      2005-12-22                               0            177.9        126.31         51.59                  9.32           6.83               2.49       2.12         5.41      4.83
Kale_Sown_9Nov05_Fert_250            Nitrogen                      2006-01-11                               0           593.65        268.72        324.93                 22.98          12.13              10.85       3.35         4.49      3.33
Kale_Sown_9Nov05_Fert_250            Nitrogen                      2006-02-01                               0           951.83        362.23         589.6                 29.42          14.29              15.13       5.27         3.95      2.58
Kale_Sown_9Nov05_Fert_250            Nitrogen                      2006-02-20                               0           1236.7        376.57        860.13                 39.32          18.01              21.31       5.57         4.76      2.59
Kale_Sown_9Nov05_Fert_250            Nitrogen                      2006-03-13                               0          1962.16        508.81       1453.36                 43.81          20.53              23.28       6.56         4.02      1.66
Kale_Sown_9Nov05_Fert_250            Nitrogen                      2006-04-10                               0          2132.75        389.37       1743.38                 42.74          13.59              29.15       5.64         3.53      1.73
Kale_Sown_9Nov05_Fert_250            Nitrogen                      2006-05-09                               1          2656.05         443.3       2212.74                 44.03          12.78              31.26       6.85         2.88      1.43
Kale_Sown_9Nov05_Fert_500            Nitrogen                      2005-12-22                               0           151.45        110.03         41.41                  7.68           5.76               1.92       1.79         5.16      4.67
Kale_Sown_9Nov05_Fert_500            Nitrogen                      2006-01-11                               0           566.66        263.75         302.9                 23.17          13.22               9.96       3.21         5.02      3.34
Kale_Sown_9Nov05_Fert_500            Nitrogen                      2006-02-01                               0           985.67        373.71        611.96                    39          18.78              20.22       4.94         5.01       3.3
Kale_Sown_9Nov05_Fert_500            Nitrogen                      2006-02-20                               0          1312.54        394.23        918.32                 49.44          22.28              27.16       6.04         5.59      2.94
Kale_Sown_9Nov05_Fert_500            Nitrogen                      2006-03-13                               0             1673        409.66       1263.34                 52.63          18.47              34.16       4.96         4.51      2.74
Kale_Sown_9Nov05_Fert_500            Nitrogen                      2006-04-10                               0          2223.92        436.76       1787.16                 52.33          13.99              38.35       5.36         3.23      2.21
Kale_Sown_9Nov05_Fert_500            Nitrogen                      2006-05-09                               1          2176.33        447.59       1728.74                 47.29          12.79               34.5       6.46         2.92      2.08
Kale_Sown_1Oct06_Fert_264            Sowing_date                   2007-01-29                               0           825.05        306.25        518.81                      *                     *              *                  *          *            *
Kale_Sown_1Oct06_Fert_264            Sowing_date                   2007-03-14                               0          1732.51        404.62       1327.89                      *                     *              *                  *          *            *
Kale_Sown_1Oct06_Fert_264            Sowing_date                   2007-05-29                               1          3048.29         415.2       2633.09                 34.15          13.21              20.94          0         3.17       0.8
Kale_Sown_3Nov06_Fert_264            Sowing_date                   2007-01-29                               0           365.19        173.11        192.08                      *                     *              *                  *          *            *
Kale_Sown_3Nov06_Fert_264            Sowing_date                   2007-03-14                               0          1422.75        426.39        996.37                      *                     *              *                  *          *            *
Kale_Sown_3Nov06_Fert_264            Sowing_date                   2007-05-29                               1          2541.27           399       2142.26                 37.42          14.94              22.48          0         3.77      1.05
Kale_Sown_1Dec06_Fert_264            Sowing_date                   2007-01-29                               0           175.62        117.18         58.44                      *                     *              *                  *          *            *
Kale_Sown_1Dec06_Fert_264            Sowing_date                   2007-03-14                               0           995.69        362.39         633.3                     *                     *              *                  *          *            *
Kale_Sown_1Dec06_Fert_264            Sowing_date                   2007-05-29                               1          2254.73        434.22       1820.51                 36.19          15.88              20.31          0         3.67      1.12
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2006-12-07                               0            91.82         70.47         21.35                  2.86           2.37               0.49       1.02         3.25      2.31
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2006-12-19                               0           215.24        131.78         83.46                  3.47           2.53               0.94       1.44         1.79      1.07
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-01-05                               0           264.87        140.27         124.6                  4.28           2.93               1.35       1.41         2.05       1.1
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-01-18                               0           606.28        256.25        350.03                  8.81           5.05               3.76       2.93         1.89      1.09
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-01-29                               0           655.25        234.64        420.61                  7.15           4.26               2.89       3.31         1.81      0.71
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-02-19                               0           773.16        226.65        546.51                  9.38           5.43               3.95        2.4         2.28      0.73
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-03-05                               0           808.58        217.59           591                  9.65            5.7               3.95       2.34         2.47      0.65
Kale_Sown_1Oct06_Fert_nil            Sowing_by_nitrogen            2007-03-26                               0           957.96           252        705.97                 12.04           6.42               5.61        3.4          2.6       0.8
