SimulationName	PlotName	Clock.Today	Onion.DAS	Onion.DAE	Onion.SowRate	Onion.Rep	Onion.plot	Onion.LeafLAI	Onion.Summariser.LiveDM	Onion.Leaf.Livewt	Onion.Bulb.Livewt	Onion.Bulb.FreshWt
()	()	()	()	()	()	()	()	(m2/m2)	(g/m2)	(g/m2)	(g/m2)	(t/ha)
SD1_SowRate_60	SD1_rep_1plot_1SowRate_60	2000-10-09	53	31	60	1	1	0.001587	0.444	0.444	0	0
SD1_SowRate_30	SD1_rep_1plot_2SowRate_30	2000-10-09	53	31	30	1	2	0.002087	0.769	0.769	0	0
SD1_SowRate_90	SD1_rep_1plot_3SowRate_90	2000-10-09	53	31	90	1	3	0.008407	2.595	2.595	0	0
SD1_SowRate_15	SD1_rep_1plot_4SowRate_15	2000-10-09	53	31	15	1	4	0.001026	0.500	0.500	0	0
SD1_SowRate_15	SD1_rep_2plot_5SowRate_15	2000-10-09	53	31	15	2	5	0.001322	0.500	0.500	0	0
SD1_SowRate_30	SD1_rep_2plot_6SowRate_30	2000-10-09	53	31	30	2	6	0.002841	0.574	0.574	0	0
SD1_SowRate_60	SD1_rep_2plot_7SowRate_60	2000-10-09	53	31	60	2	7	0.005836	1.373	1.373	0	0
SD1_SowRate_90	SD1_rep_2plot_8SowRate_90	2000-10-09	53	31	90	2	8	0.011109	2.571	2.571	0	0
SD1_SowRate_90	SD1_rep_3plot_9SowRate_90	2000-10-09	53	31	90	3	9	0.025053	3.208	3.208	0	0
SD1_SowRate_60	SD1_rep_3plot_10SowRate_60	2000-10-09	53	31	60	3	10	0.006031	1.279	1.279	0	0
SD1_SowRate_15	SD1_rep_3plot_11SowRate_15	2000-10-09	53	31	15	3	11	0.002402	0.500	0.500	0	0
SD1_SowRate_30	SD1_rep_3plot_12SowRate_30	2000-10-09	53	31	30	3	12	0.004722	0.852	0.852	0	0
SD1_SowRate_60	SD1_rep_1plot_1SowRate_60	2000-11-01	76	54	60	1	1	0.057595	0.182	0.182	0	0
SD1_SowRate_30	SD1_rep_1plot_2SowRate_30	2000-11-01	76	54	30	1	2	0.063139	8.466	8.466	0	0
SD1_SowRate_90	SD1_rep_1plot_3SowRate_90	2000-11-01	76	54	90	1	3	0.153946	13.493	13.493	0	0
SD1_SowRate_15	SD1_rep_1plot_4SowRate_15	2000-11-01	76	54	15	1	4	0.018851	3.675	3.675	0	0
SD1_SowRate_15	SD1_rep_2plot_5SowRate_15	2000-11-01	76	54	15	2	5	0.016154	2.395	2.395	0	0
SD1_SowRate_30	SD1_rep_2plot_6SowRate_30	2000-11-01	76	54	30	2	6	0.029131	7.029	7.029	0	0
SD1_SowRate_60	SD1_rep_2plot_7SowRate_60	2000-11-01	76	54	60	2	7	0.061923	8.392	8.392	0	0
SD1_SowRate_90	SD1_rep_2plot_8SowRate_90	2000-11-01	76	54	90	2	8	0.149548	13.441	13.441	0	0
SD1_SowRate_90	SD1_rep_3plot_9SowRate_90	2000-11-01	76	54	90	3	9	0.240471	25.163	25.163	0	0
SD1_SowRate_60	SD1_rep_3plot_10SowRate_60	2000-11-01	76	54	60	3	10	0.152355	12.461	12.461	0	0
SD1_SowRate_15	SD1_rep_3plot_11SowRate_15	2000-11-01	76	54	15	3	11	0.024213	3.879	3.879	0	0
SD1_SowRate_30	SD1_rep_3plot_12SowRate_30	2000-11-01	76	54	30	3	12	0.033610	10.427	10.427	0	0
SD1_SowRate_60	SD1_rep_1plot_1SowRate_60	2000-11-14	89	67	60	1	1	0.177453	16.808	16.808	0	0
SD1_SowRate_30	SD1_rep_1plot_2SowRate_30	2000-11-14	89	67	30	1	2	0.144405	14.579	14.579	0	0
SD1_SowRate_90	SD1_rep_1plot_3SowRate_90	2000-11-14	89	67	90	1	3	0.657829	64.342	64.342	0	0
SD1_SowRate_15	SD1_rep_1plot_4SowRate_15	2000-11-14	89	67	15	1	4	0.081770	9.340	9.340	0	0
SD1_SowRate_15	SD1_rep_2plot_5SowRate_15	2000-11-14	89	67	15	2	5	0.065740	7.134	7.134	0	0
SD1_SowRate_30	SD1_rep_2plot_6SowRate_30	2000-11-14	89	67	30	2	6	0.181433	22.358	22.358	0	0
SD1_SowRate_60	SD1_rep_2plot_7SowRate_60	2000-11-14	89	67	60	2	7	0.384738	40.533	40.533	0	0
SD1_SowRate_90	SD1_rep_2plot_8SowRate_90	2000-11-14	89	67	90	2	8	0.298928	31.638	31.638	0	0
SD1_SowRate_90	SD1_rep_3plot_9SowRate_90	2000-11-14	89	67	90	3	9	0.362509	39.398	39.398	0	0
SD1_SowRate_60	SD1_rep_3plot_10SowRate_60	2000-11-14	89	67	60	3	10	0.254741	38.191	38.191	0	0
SD1_SowRate_15	SD1_rep_3plot_11SowRate_15	2000-11-14	89	67	15	3	11	0.089501	9.989	9.989	0	0
SD1_SowRate_30	SD1_rep_3plot_12SowRate_30	2000-11-14	89	67	30	3	12	0.129983	17.289	17.289	0	0
SD1_SowRate_60	SD1_rep_1plot_1SowRate_60	2000-11-22	97	75	60	1	1	0.504893	42.448	42.448	0	0
SD1_SowRate_30	SD1_rep_1plot_2SowRate_30	2000-11-22	97	75	30	1	2	0.381271	37.859	37.859	0	0
SD1_SowRate_90	SD1_rep_1plot_3SowRate_90	2000-11-22	97	75	90	1	3	0.942793	77.070	77.070	0	0
SD1_SowRate_15	SD1_rep_1plot_4SowRate_15	2000-11-22	97	75	15	1	4	0.245768	13.000	13.000	0	0
SD1_SowRate_15	SD1_rep_2plot_5SowRate_15	2000-11-22	97	75	15	2	5	0.473968	19.165	19.165	0	0
SD1_SowRate_30	SD1_rep_2plot_6SowRate_30	2000-11-22	97	75	30	2	6	0.330803	27.084	27.084	0	0
SD1_SowRate_60	SD1_rep_2plot_7SowRate_60	2000-11-22	97	75	60	2	7	0.872246	73.562	73.562	0	0
SD1_SowRate_90	SD1_rep_2plot_8SowRate_90	2000-11-22	97	75	90	2	8	1.146632	106.950	106.950	0	0
SD1_SowRate_90	SD1_rep_3plot_9SowRate_90	2000-11-22	97	75	90	3	9	1.723543	115.712	115.712	0	0
SD1_SowRate_60	SD1_rep_3plot_10SowRate_60	2000-11-22	97	75	60	3	10	0.686277	62.058	60.724	1.333333333	0.013
SD1_SowRate_15	SD1_rep_3plot_11SowRate_15	2000-11-22	97	75	15	3	11	0.421119	19.754	19.754	0	0
